,loss
169,2.350282969524869
170,3.092620849609375
171,3.1557284444334393
172,3.2161031480652196
173,3.1236254528128784
174,3.2656335305041218
175,2.752804820948114
176,2.875572947595012
177,2.948213726815036
178,3.7623685762479706
179,2.6500439101843525
180,3.4331852963096217
181,2.974804407824082
182,3.0763014943976152
183,2.9974968050733026
184,3.1117929311899037
185,2.961401072153512
186,2.9294140216823408
187,3.0593834253140764
188,3.104825770423127
189,3.199929971363688
190,2.5975365092736165
191,3.0335126428796144
192,2.5886687335900778
193,2.8827814995488037
194,2.7904232544518415
195,3.3168749361344383
196,3.1424981612193434
197,3.3648519593107733
198,2.933930505241821
199,2.80225397064252
200,2.285792300575658
201,2.798102136273002
202,2.939042450279318
203,2.984938148114321
204,3.0123519897460938
205,3.2138194837068257
206,2.6884672785379804
207,2.6540835904999507
208,2.663269167870161
209,2.490966119591935
210,2.5915135789776995
211,2.54893064718642
212,2.540066903798368
213,3.0389340463545396
214,3.0701798339143203
215,2.806581205273662
216,2.8521652221679688
217,2.609327088608572
218,2.6751047360471807
219,3.0788695740842535
220,2.5679287186324764
221,2.3642721236583095
222,2.430323345826404
223,2.281801539778569
224,2.551775995128883
225,2.4848312026704362
226,2.7502586680010332
227,2.4114039542743697
228,2.3303903521913467
229,2.5057242382531877
230,2.4791673008640505
231,3.0967461054278775
232,2.769260073668205
233,2.9274735589874834
234,2.2377227783203124
235,2.9749960375081805
236,2.3016049244364756
237,3.0523756815890764
238,3.3894033683482823
239,2.8824229859617785
240,2.6689409770394006
241,2.3088954186153248
242,2.202550341796875
243,2.9438982580462074
244,2.293006747376685
245,2.647001238165275
246,2.5721508667195296
247,2.29219733344184
248,2.622880380965688
249,3.2226884984258395
250,2.685298462863287
251,2.760480255776263
252,2.4114354365289548
253,2.558246413010817
254,2.719087080522017
255,3.0343689836774552
256,2.1360157635195036
257,2.4845122411546514
258,2.141390403111776
259,2.7828298091888426
260,2.4883251724956192
261,2.4279177468316515
262,2.361956319902153
263,2.1990691297113116
264,2.151343472719489
265,2.2659114888060987
266,2.9324586337670344
267,2.747742604188118
268,2.646848014611627
269,2.5975031633079495
270,2.382449067047844
271,3.3181063870771217
272,2.409199780756884
273,2.378226071513591
274,2.2865427681812145
275,2.6287409419980023
276,2.4238486808816386
277,2.3852606226358324
278,2.4140015271881383
279,2.2750031009076457
280,2.8204269409179688
281,2.6042206452057526
282,2.290242810898609
283,2.580430250901442
284,2.2458357049163276
285,2.127627621329791
286,1.8848129648488166
287,2.55736863469503
288,2.8398980034722223
289,2.104669292683833
290,2.254316599581254
291,2.1057625941872278
292,2.530825993202252
293,2.644105142295104
294,2.1343046253695963
295,2.4641065364331967
296,2.9308806026683136
297,2.3071572908791165
298,2.393422596490205
299,2.1747418943148773
300,2.0843251595846035
301,2.159136050215391
302,2.1819112025669645
303,2.1489648124921032
304,2.146764890842528
305,2.339032933499196
306,2.348719701568875
307,2.1154637490549395
308,2.029395998889253
309,2.047574562696541
310,2.703515894912959
311,2.015518851902174
312,2.117658219247494
313,2.7208294955166905
314,2.2904981654119982
315,2.5073555381035764
316,2.0409396550204852
317,2.3130002096614213
318,1.8397534287441872
319,2.5665391458047404
320,2.059134795286945
321,2.28566259887088
322,2.179743374460112
323,1.9580112757765562
324,2.4767443690291207
325,1.9010478156311597
326,2.001044535346541
327,2.1134263812714167
328,2.331517204564279
329,2.197149772554706
330,2.05828034622693
331,2.1835127518583723
332,2.1389508585291583
333,2.3131962836304463
334,2.606102213409126
335,2.836635465013851
336,2.202664252210316
337,2.1821757089931335
338,1.8749480433970191
339,2.2110431341477383
340,1.8937583014349064
